video_id,id,title,kind,description,etag,published_at,views,likes,dislikes,favorites,comments,iframe,link
IZliv4xo67c,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LklabGl2NHhvNjdj,Flexdashboard - Sesion 1 - 2020-08-12,youtube#playlistItem,En esta primera sesion aprenderemos sobre como diseñar dashboard utilizando la libreria de flexdashboards.,91hS0XN8veJ9umGL3_gA4SU92Og,2020-08-10T00:52:44Z,0.0,2.0,0.0,0.0,0.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/IZliv4xo67c"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/IZliv4xo67c
Gty0tPoESxc,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3Lkd0eTB0UG9FU3hj,RnoteBooks parte 2,youtube#playlistItem,"En el taller pasado aprendimos como agregar diferentes elementos de diseño a nuestro notebook ahora aprenderemos a agregar codigo y correrlo. Crearemos imagenes, usaremos codigo en python, y SQL",n-fqTcqYMjqz06ccEr8MoJGYKB8,2020-08-06T12:58:08Z,192.0,9.0,0.0,0.0,1.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Gty0tPoESxc"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/Gty0tPoESxc
96niOlwgosg,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3Ljk2bmlPbHdnb3Nn,Probabilidad Condicional - Problema 77,youtube#playlistItem,"Un estudio de conducta, después de un tratamiento hecho a gran número adictos a las drogas, sugiere que la probabilidad de hallarlos culpables no más de dos años después del tratamiento depende de la educación de los infractores. Las proporciones del número total de casos que caen en cuatro categorías
de educación-culpabilidad se muestran en la tabla siguiente:

Suponga que se selecciona un solo infractor del programa de tratamiento. Defi na los eventos: A: el infractor tiene 10 o más años de educación. B: el infractor es hallado culpable en no más de dos años después de terminar el tratamiento.
Encuentre lo siguiente:


== Tabla de contenido ==
00:00 Recuerda suscribierte
00:12 Lectura del problema
01:18 Recomendaciones para la solucion del problema
02:48 Solucion inciso a.
03:12 (b)
03:57 (c)
04:45 (d)
05:47 (e)
06:24 (f)
06:54 (g)
07:23 (h)
08:01 (i)
08:40 Recomendaciones finales 



===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com",DbGERf9iFOth3ZzJwkC9O5NsEX4,2020-08-10T14:00:11Z,72.0,7.0,1.0,0.0,0.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/96niOlwgosg"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/96niOlwgosg
kFRAm2f2YS4,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LmtGUkFtMmYyWVM0,Probabilidad Condicional - Problema 76,youtube#playlistItem,"Una encuesta de consumidores en una comunidad particular mostró que 10% no estaban satisfechos con los trabajos de plomería realizados en sus casas. La mitad de las quejas se refería al plomero A, que realiza 40% de los trabajos de plomería de la población. Encuentre la probabilidad de que un consumidor obtenga 

a. un trabajo de plomería no satisfactorio, dado que el plomero era A.

b. un trabajo de plomería satisfactorio, dado que el plomero era A.

==  Table de contenido ==
00:00 Recuerda darle me gusta
00:27 Lectura del problema
01:37 Recomendacion iniciales para la solucion
04:17 Solucion Inciso a.
06:43 Solcuion inciso b.
07:46 Recomendaciones finales

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com",xrJ3_TaVmHEbLsPgjvEvNCPudFU,2020-08-06T14:00:11Z,143.0,6.0,0.0,0.0,0.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/kFRAm2f2YS4"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/kFRAm2f2YS4
imDMLZZVACs,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LmltRE1MWlpWQUNz,Probabilidad condicional - Problema 75,youtube#playlistItem,"Se reparten cartas, una a la vez, de una baraja de 52 cartas. 

a. Si las primeras 2 cartas son espadas, ¿cuál es la probabilidad de que las siguientes 3 cartas también sean espadas?

b. Si las primeras 3 cartas son todas de espadas, ¿cuál es la probabilidad de que las 2 cartas siguientes sean también espadas?

c. Si las primeras 4 cartas son todas de espadas, ¿cuál es la probabilidad de que la siguiente carta sea
también una espada?

=== Tabla de contenido ===

00:00 Suscribete!
00:33 Lectura problema
01:09 Introduccion a la solucion
02:06 Solucion inciso a.
09:04 Solucion inciso b.
12:06 Solucion inciso c.
14:24 Recomendaciones finales

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com",PK2PXb7cAHbV_0tgP1T9D2MiTBU,2020-08-03T15:00:10Z,239.0,9.0,0.0,0.0,0.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/imDMLZZVACs"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/imDMLZZVACs
JRt_YIAYL1g,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LkpSdF9ZSUFZTDFn,R Note Books Parte 1,youtube#playlistItem,En este taller aprenderemos como crear notebooks en R. El plan es aprender a utilizarlos para presentar analisis.,Jy_xBv7i_2TiyK-63T9v-mYwbvo,2020-07-30T13:06:47Z,317.0,11.0,0.0,0.0,0.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JRt_YIAYL1g"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/JRt_YIAYL1g
snyzIXkZMbY,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LnNueXpJWGtaTWJZ,Agregando estadisticas al boxplot ggplot2,youtube#playlistItem,Reaolviendo algunas dudas que salieron en el taller,Vnkvrc32oPN96O_MsaYt7-RycXw,2020-07-23T15:23:58Z,164.0,3.0,0.0,0.0,0.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/snyzIXkZMbY"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/snyzIXkZMbY
-TkVVs2zlsY,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3Li1Ua1ZWczJ6bHNZ,Taller. Visualizacion de datos con GGPLOT parte 3,youtube#playlistItem,Seguimos con nuestro live sobre visualizaciones en ggplot. Aqui aprenderemos sobre otras geometrias que tenemos disponibles. Este es la ultima parte de este taller.,5l2CdBXU3xnqEG8DgioWdJrm9oc,2020-07-23T12:52:16Z,234.0,13.0,0.0,0.0,0.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-TkVVs2zlsY"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/-TkVVs2zlsY
6MfVY3NJH1E,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LjZNZlZZM05KSDFF,Visualizacion con ggplot 2 parte 2,youtube#playlistItem,"En el stream del dia hoy, Resolveremos algunas dudas del ultimo stream. Tambien aprenderemos sobre histogramas, graficas de barras y lineas.",fwH10uWV4AcUw4678-1xEK4M-jQ,2020-07-16T13:14:12Z,274.0,12.0,1.0,0.0,6.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/6MfVY3NJH1E"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/6MfVY3NJH1E
_6JsEhMMyao,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3Ll82SnNFaE1NeWFv,Introduccion a GGPLOT 2,youtube#playlistItem,En este taller aprenderemos el uso basico de la libreria ggplot 2 que nos servira para crear graficas en R.,BZqVEWuwzYS0BA_6mDb8LIMx3O0,2020-07-09T13:00:42Z,369.0,22.0,1.0,0.0,0.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/_6JsEhMMyao"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/_6JsEhMMyao
